   nodename,  config, hostnode,        dataname,         format, file_revision
   ECL01, default,  ROPC501,  ROPC501_STATUS,  ronode_status,4
   ECL01, default,  CPR5001,  CPR5001_STATUS,  ronode_status,4
   ECL01, default,  CPR5002,  CPR5002_STATUS,  ronode_status,4
   ECL01, default,  CPR5003,  CPR5003_STATUS,  ronode_status,4
   ECL01, default,  CPR5004,  CPR5004_STATUS,  ronode_status,4
   ECL01, default,  CPR5005,  CPR5005_STATUS,  ronode_status,4
   ECL01, default,  CPR5006,  CPR5006_STATUS,  ronode_status,4
   ECL01, default,  CPR5007,  CPR5007_STATUS,  ronode_status,4
   ECL01, default,  CPR5008,  CPR5008_STATUS,  ronode_status,4
   ECL01, default,  CPR5009,  CPR5009_STATUS,  ronode_status,4
   ECL01, default,  CPR5010,  CPR5010_STATUS,  ronode_status,4
   ECL01, default,  CPR5011,  CPR5011_STATUS,  ronode_status,4
   ECL01, default,  CPR5012,  CPR5012_STATUS,  ronode_status,4
   ECL01, default,  CPR5013,  CPR5013_STATUS,  ronode_status,4
   ECL02, default,  ROPC502,  ROPC502_STATUS,  ronode_status,4
   ECL02, default,  CPR5014,  CPR5014_STATUS,  ronode_status,4
   ECL02, default,  CPR5015,  CPR5015_STATUS,  ronode_status,4
   ECL02, default,  CPR5016,  CPR5016_STATUS,  ronode_status,4
   ECL02, default,  CPR5017,  CPR5017_STATUS,  ronode_status,4
   ECL02, default,  CPR5018,  CPR5018_STATUS,  ronode_status,4
   ECL02, default,  CPR6001,  CPR6001_STATUS,  ronode_status,4
   ECL02, default,  CPR6002,  CPR6002_STATUS,  ronode_status,4
   ECL02, default,  CPR6003,  CPR6003_STATUS,  ronode_status,4
   ECL02, default,  CPR6004,  CPR6004_STATUS,  ronode_status,4
   ECL02, default,  CPR6005,  CPR6005_STATUS,  ronode_status,4
   ECL02, default,  CPR6006,  CPR6006_STATUS,  ronode_status,4
   ECL02, default,  CPR6007,  CPR6007_STATUS,  ronode_status,4
   ECL02, default,  CPR6008,  CPR6008_STATUS,  ronode_status,4
